,location,total_sqft,bath,size_BHK,price
1710,Electronic City,1070.0,2.0,2,58.0
1711,Electronic City,1210.0,2.0,2,54.0
1712,Electronic City,1500.0,2.0,3,75.0
1714,Electronic City,1070.0,2.0,2,52.0
1715,Electronic City,2435.0,4.0,4,119.0
1720,Electronic City,1073.0,2.0,2,60.0
1721,Electronic City,1500.0,2.0,3,78.0
1722,Electronic City,1070.0,2.0,2,47.0
1723,Electronic City,1296.0,2.0,2,65.0
1724,Electronic City,1140.0,2.0,2,70.93
1730,Electronic City,2093.0,4.0,4,104.0
1731,Electronic City,1025.0,2.0,2,53.9
1732,Electronic City,940.0,2.0,2,54.0
1733,Electronic City,435.0,1.0,1,21.0
1734,Electronic City,1500.0,2.0,3,77.5
1735,Electronic City,1631.0,3.0,3,80.0
1736,Electronic City,1355.0,2.0,2,67.0
1739,Electronic City,435.0,1.0,1,22.0
1741,Electronic City,1039.0,2.0,2,50.0
1742,Electronic City,770.0,1.0,2,39.9
1744,Electronic City,1128.0,2.0,2,64.0
1745,Electronic City,605.0,1.0,1,13.31
1747,Electronic City,530.0,1.0,1,13.5
1748,Electronic City,1070.0,2.0,2,53.0
1751,Electronic City,1571.0,3.0,3,83.0
1753,Electronic City,1350.0,3.0,3,66.0
1754,Electronic City,1652.0,3.0,3,110.0
1758,Electronic City,1128.0,2.0,2,65.58
1759,Electronic City,635.0,1.0,1,28.0
1760,Electronic City,1128.0,2.0,2,65.4
1763,Electronic City,1355.0,2.0,2,72.9
1767,Electronic City,770.0,1.0,2,35.0
1769,Electronic City,865.0,2.0,2,40.0
1772,Electronic City,1108.0,2.0,2,63.0
1773,Electronic City,630.0,1.0,1,40.5
1776,Electronic City,605.0,1.0,1,22.0
1778,Electronic City,1070.0,2.0,2,48.0
1780,Electronic City,1360.0,2.0,3,70.0
1781,Electronic City,635.0,1.0,1,28.0
1782,Electronic City,1128.0,2.0,2,65.45
1783,Electronic City,890.0,2.0,2,40.0
1788,Electronic City,1360.0,2.0,3,58.0
1791,Electronic City,630.0,1.0,1,33.7
1795,Electronic City,1400.0,3.0,3,90.0
1796,Electronic City,1287.0,3.0,3,55.0
1797,Electronic City,1258.0,2.0,2,85.5
1798,Electronic City,1386.0,2.0,2,85.0
1799,Electronic City,550.0,1.0,1,27.0
1800,Electronic City,1025.0,2.0,2,50.0
1802,Electronic City,1070.0,2.0,2,55.0
1803,Electronic City,1342.0,2.0,2,72.0
1804,Electronic City,1275.0,3.0,3,70.0
1805,Electronic City,770.0,1.0,2,38.0
1810,Electronic City,1644.0,3.0,3,92.59
1811,Electronic City,1250.0,2.0,2,62.0
1814,Electronic City,418.0,1.0,1,12.0
1815,Electronic City,1128.0,2.0,2,64.8
1818,Electronic City,1060.0,2.0,2,55.0
1819,Electronic City,710.0,1.0,1,40.42
1822,Electronic City,1275.0,3.0,3,63.43
1823,Electronic City,1518.0,3.0,3,75.0
1824,Electronic City,1090.0,2.0,1,31.48
1827,Electronic City,1060.0,2.0,2,55.0
1829,Electronic City,1353.0,2.0,2,75.0
1831,Electronic City,1128.0,2.0,2,67.0
1832,Electronic City,1070.0,2.0,2,57.0
1833,Electronic City,1700.0,3.0,3,90.0
1835,Electronic City,750.0,1.0,1,35.0
1836,Electronic City,1210.0,2.0,2,55.0
1837,Electronic City,1070.0,2.0,2,60.0
1842,Electronic City,1615.0,3.0,3,97.0
1844,Electronic City,1221.0,2.0,2,68.0
1846,Electronic City,1500.0,3.0,3,73.0
1847,Electronic City,995.0,2.0,2,48.0
1848,Electronic City,1342.0,2.0,2,90.0
1850,Electronic City,1128.0,2.0,2,63.5
1851,Electronic City,589.0,1.0,1,29.0
1854,Electronic City,1575.0,3.0,3,94.5
1855,Electronic City,1070.0,2.0,2,48.0
1856,Electronic City,1025.0,2.0,2,54.0
1857,Electronic City,1500.0,2.0,3,70.0
1858,Electronic City,1500.0,2.0,3,64.5
1860,Electronic City,2093.0,4.0,4,134.0
1862,Electronic City,1355.0,2.0,2,73.0
1863,Electronic City,1360.0,2.0,3,64.99
1864,Electronic City,1060.0,2.0,2,52.0
1865,Electronic City Phase II,1056.0,2.0,2,39.07
1866,Electronic City Phase II,1020.0,2.0,2,30.6
1867,Electronic City Phase II,1069.0,2.0,2,45.0
1868,Electronic City Phase II,630.0,1.0,1,28.35
1870,Electronic City Phase II,1000.0,2.0,2,25.0
1871,Electronic City Phase II,1090.0,2.0,2,28.34
1872,Electronic City Phase II,2225.0,4.0,4,98.88
1874,Electronic City Phase II,775.0,2.0,2,38.0
1875,Electronic City Phase II,1266.0,2.0,2,59.0
1876,Electronic City Phase II,1000.0,2.0,2,28.88
1879,Electronic City Phase II,972.0,2.0,2,44.0
1881,Electronic City Phase II,1031.0,2.0,2,55.0
1882,Electronic City Phase II,1003.0,2.0,2,40.6
1883,Electronic City Phase II,1031.0,2.0,2,56.35
1885,Electronic City Phase II,1395.0,2.0,3,62.78
1886,Electronic City Phase II,1160.0,2.0,2,33.5
1887,Electronic City Phase II,1065.0,2.0,2,30.75
1888,Electronic City Phase II,1219.0,2.0,2,61.25
1890,Electronic City Phase II,1000.0,2.0,2,28.88
1891,Electronic City Phase II,1790.0,3.0,3,100.0
1892,Electronic City Phase II,769.0,2.0,2,40.0
1894,Electronic City Phase II,900.0,2.0,2,32.5
1897,Electronic City Phase II,993.0,2.0,3,50.0
1898,Electronic City Phase II,1418.0,3.0,3,52.47
1899,Electronic City Phase II,1070.0,2.0,2,45.0
1902,Electronic City Phase II,1140.0,2.0,2,33.06
1903,Electronic City Phase II,1089.0,2.0,2,32.67
1904,Electronic City Phase II,1031.0,2.0,2,55.0
1905,Electronic City Phase II,1253.0,2.0,2,65.8
1907,Electronic City Phase II,1160.0,2.0,2,33.5
1908,Electronic City Phase II,975.0,2.0,3,45.0
1909,Electronic City Phase II,6000.0,4.0,4,260.0
1910,Electronic City Phase II,1116.0,2.0,2,37.0
1911,Electronic City Phase II,1125.0,2.0,2,29.25
1912,Electronic City Phase II,1000.0,2.0,2,28.88
1913,Electronic City Phase II,1000.0,2.0,2,28.88
1914,Electronic City Phase II,1000.0,2.0,2,28.88
1915,Electronic City Phase II,1165.0,2.0,2,30.29
1916,Electronic City Phase II,3550.0,2.0,4,167.5
1917,Electronic City Phase II,1031.0,2.0,2,53.0
1919,Electronic City Phase II,1065.0,2.0,2,30.88
1921,Electronic City Phase II,1549.0,3.0,3,80.0
1922,Electronic City Phase II,1065.0,2.0,2,56.13
1924,Electronic City Phase II,920.0,2.0,2,26.0
1925,Electronic City Phase II,1140.0,2.0,2,33.84
1926,Electronic City Phase II,1219.0,2.0,2,61.26
1927,Electronic City Phase II,1252.0,2.0,3,65.0
1928,Electronic City Phase II,1125.0,2.0,2,32.49
1930,Electronic City Phase II,1286.0,2.0,2,69.0
1932,Electronic City Phase II,1140.0,2.0,2,32.92
1933,Electronic City Phase II,1116.0,2.0,2,40.0
1934,Electronic City Phase II,1150.0,3.0,3,46.0
1935,Electronic City Phase II,1192.0,2.0,3,47.0
1937,Electronic City Phase II,1020.0,2.0,2,32.0
1938,Electronic City Phase II,1900.0,3.0,4,97.0
1939,Electronic City Phase II,1020.0,2.0,2,27.43
1940,Electronic City Phase II,1025.0,2.0,2,26.65
1941,Electronic City Phase II,1020.0,2.0,2,29.45
1942,Electronic City Phase II,1000.0,2.0,2,28.88
1944,Electronic City Phase II,1140.0,2.0,2,28.5
1945,Electronic City Phase II,1125.0,2.0,2,32.49
1946,Electronic City Phase II,1200.0,2.0,2,34.65
1947,Electronic City Phase II,1160.0,2.0,2,52.2
1948,Electronic City Phase II,1244.0,2.0,2,55.0
1949,Electronic City Phase II,1160.0,2.0,2,33.51
1952,Electronic City Phase II,972.0,2.0,2,40.0
1953,Electronic City Phase II,1160.0,2.0,2,33.51
1955,Electronic City Phase II,1090.0,2.0,2,31.48
1956,Electronic City Phase II,1140.0,2.0,2,32.92
1957,Electronic City Phase II,650.0,1.0,1,35.0
1958,Electronic City Phase II,1155.0,2.0,2,57.0
1959,Electronic City Phase II,1800.0,3.0,3,92.0
1960,Electronic City Phase II,1300.0,2.0,2,28.0
1961,Electronic City Phase II,1160.0,2.0,2,33.5
1962,Electronic City Phase II,1025.0,2.0,2,29.6
1963,Electronic City Phase II,829.0,2.0,2,22.8
1964,Electronic City Phase II,2187.5,4.0,4,105.0
1965,Electronic City Phase II,1252.0,2.0,2,67.0
1967,Electronic City Phase II,1125.0,2.0,2,32.63
1968,Electronic City Phase II,1140.0,2.0,2,34.0
1971,Electronic City Phase II,1252.0,2.0,3,65.0
1972,Electronic City Phase II,1135.0,2.0,2,46.0
1973,Electronic City Phase II,1305.0,3.0,3,65.0
1974,Electronic City Phase II,1165.0,2.0,2,33.64
1976,Electronic City Phase II,1336.0,2.0,3,50.35
1977,Electronic City Phase II,575.0,1.0,1,16.75
1978,Electronic City Phase II,925.0,2.0,3,49.82
1979,Electronic City Phase II,1065.0,2.0,2,30.76
1980,Electronic City Phase II,1065.0,2.0,2,30.75
1981,Electronic City Phase II,1140.0,2.0,2,33.06
1982,Electronic City Phase II,911.0,2.0,2,26.5
1983,Electronic City Phase II,1200.0,2.0,2,34.65
1984,Electronic City Phase II,1031.0,2.0,2,54.48
1988,Electronics City Phase 1,1475.0,3.0,3,78.29
1989,Electronics City Phase 1,1490.0,3.0,3,78.8
1990,Electronics City Phase 1,1113.27,2.0,2,53.0
1991,Electronics City Phase 1,1490.0,3.0,3,84.0
1998,Electronics City Phase 1,1015.0,2.0,2,56.0
2000,Electronics City Phase 1,1515.0,2.0,3,80.91
2001,Electronics City Phase 1,995.0,2.0,2,46.0
2002,Electronics City Phase 1,1555.0,2.0,3,82.0
2003,Electronics City Phase 1,1340.0,2.0,2,75.0
2004,Electronics City Phase 1,1124.0,2.0,3,55.0
2005,Electronics City Phase 1,1175.0,2.0,2,57.0
2006,Electronics City Phase 1,755.0,1.0,1,42.41
2007,Electronics City Phase 1,580.0,1.0,1,27.0
2008,Electronics City Phase 1,940.0,2.0,2,49.0
2009,Electronics City Phase 1,1335.0,2.0,2,67.0
2010,Electronics City Phase 1,1113.12,2.0,2,55.0
2012,Electronics City Phase 1,1350.0,3.0,3,71.0
2014,Electronics City Phase 1,995.0,2.0,2,49.8
2015,Electronics City Phase 1,635.0,1.0,1,26.0
2016,Electronics City Phase 1,1190.0,2.0,2,68.0
2018,Electronics City Phase 1,1450.0,3.0,3,72.54
2019,Electronics City Phase 1,360.0,1.0,1,16.9
2020,Electronics City Phase 1,638.0,1.0,1,32.0
2021,Electronics City Phase 1,1175.0,2.0,2,64.98
2022,Electronics City Phase 1,585.0,1.0,1,21.0
2023,Electronics City Phase 1,1200.0,2.0,2,59.76
2024,Electronics City Phase 1,1145.0,2.0,2,54.0
2025,Electronics City Phase 1,1125.0,2.0,2,65.0
2027,Electronics City Phase 1,1550.0,2.0,3,82.0
2029,Electronics City Phase 1,865.0,2.0,2,40.0
2033,Electronics City Phase 1,1800.0,3.0,3,93.0
2034,Electronics City Phase 1,1314.0,2.0,2,60.0
2035,Electronics City Phase 1,1170.0,2.0,2,62.0
2036,Electronics City Phase 1,1450.0,3.0,3,79.0
2037,Electronics City Phase 1,940.0,2.0,2,48.0
2038,Electronics City Phase 1,940.0,2.0,2,44.0
2039,Electronics City Phase 1,1300.0,2.0,2,67.0
2040,Electronics City Phase 1,1028.0,2.0,2,51.0
2042,Electronics City Phase 1,1205.0,2.0,2,60.0
2044,Electronics City Phase 1,1305.0,2.0,2,67.0
2045,Electronics City Phase 1,755.0,1.0,1,30.12
2046,Electronics City Phase 1,1175.0,2.0,2,60.0
2047,Frazer Town,1700.0,3.0,3,180.0
2048,Frazer Town,1305.0,3.0,3,95.45
2049,Frazer Town,1870.0,3.0,3,185.0
2050,Frazer Town,1750.0,3.0,3,150.0
2052,Frazer Town,2000.0,3.0,3,200.0
2053,Frazer Town,3500.0,4.0,3,330.0
2054,Frazer Town,2350.0,4.0,3,285.0
2055,Frazer Town,1550.0,2.0,2,140.0
2056,Frazer Town,1900.0,4.0,3,145.0
2057,Frazer Town,2560.0,3.0,3,265.0
2058,Frazer Town,2400.0,3.0,3,260.0
2059,Frazer Town,2560.0,3.0,3,288.0
2060,Frazer Town,3436.0,5.0,4,341.0
2062,Frazer Town,1315.0,2.0,2,140.0
2063,Frazer Town,1706.0,3.0,3,154.0
2064,Frazer Town,2079.0,3.0,3,220.0
2065,Frazer Town,3435.0,2.0,4,341.0
2066,Frazer Town,3436.0,5.0,4,345.0
2067,Frazer Town,3100.0,3.0,3,400.0
2068,Frazer Town,5400.0,3.0,3,400.0
2069,Frazer Town,1180.0,2.0,2,105.0
2070,Frazer Town,2900.0,4.0,4,325.0
2071,Frazer Town,1870.0,3.0,3,180.0
2072,Frazer Town,896.0,1.0,1,100.0
2073,Frazer Town,1420.0,2.0,2,120.0
2074,Gottigere,1100.0,2.0,2,40.0
2075,Gottigere,967.0,2.0,2,45.0
2076,Gottigere,1618.0,3.0,3,82.5
2077,Gottigere,1222.0,2.0,2,63.0
2079,Gottigere,1300.0,3.0,3,65.0
2080,Gottigere,950.0,2.0,2,38.0
2081,Gottigere,1153.0,2.0,2,48.5
2082,Gottigere,812.0,1.0,1,26.0
2084,Gottigere,1460.0,2.0,3,65.0
2085,Gottigere,1500.0,3.0,3,70.0
2086,Gottigere,1621.0,3.0,3,72.0
2087,Gottigere,812.0,1.0,1,26.0
2088,Gottigere,990.0,2.0,2,40.0
2089,Gottigere,1235.0,2.0,2,63.0
2090,Gottigere,1385.0,3.0,3,64.0
2091,Gottigere,1000.0,2.0,2,35.0
2092,Gottigere,1010.0,2.0,2,35.0
2095,Gottigere,1435.0,2.0,3,62.0
2096,Gottigere,945.0,2.0,2,45.0
2098,Gottigere,2500.0,3.0,4,120.0
2099,Gottigere,1230.0,2.0,3,52.0
2100,Gottigere,1120.0,2.0,2,50.0
2101,Gottigere,1500.0,3.0,3,63.0
2102,Gottigere,1200.0,2.0,2,40.0
2103,Gottigere,1280.0,2.0,2,61.0
2104,Gottigere,1205.0,2.0,2,56.58
2105,Gottigere,1170.0,2.0,2,40.0
2106,Gottigere,3000.0,3.0,4,132.0
2107,Gottigere,1613.0,3.0,3,72.0
2108,Gottigere,1110.0,2.0,2,36.25
2109,Gottigere,1245.0,2.0,2,59.0
2110,Gottigere,1200.0,2.0,2,50.0
2111,Green Glen Layout,1670.0,3.0,3,120.0
2112,Green Glen Layout,3250.0,4.0,4,230.0
2113,Green Glen Layout,1776.42,3.0,3,105.0
2114,Green Glen Layout,3250.0,4.0,4,230.0
2115,Green Glen Layout,940.0,2.0,2,56.8
2116,Green Glen Layout,1075.0,2.0,2,60.0
2117,Green Glen Layout,1715.0,3.0,3,115.0
2118,Green Glen Layout,1751.0,2.0,3,115.0
2119,Green Glen Layout,1750.0,3.0,3,130.0
2120,Green Glen Layout,1530.0,3.0,3,105.0
2121,Green Glen Layout,1752.0,3.0,3,105.0
2122,Green Glen Layout,1680.0,4.0,3,95.0
2123,Green Glen Layout,1728.0,3.0,3,125.0
2124,Green Glen Layout,1645.0,3.0,3,110.0
2125,Green Glen Layout,1517.0,3.0,3,100.0
2126,Green Glen Layout,3150.0,4.0,4,218.0
2128,Green Glen Layout,1750.0,3.0,3,120.0
2129,Green Glen Layout,1751.0,3.0,3,115.0
2130,Green Glen Layout,1750.0,3.0,3,105.0
2131,Green Glen Layout,1885.0,3.0,3,135.0
2132,Green Glen Layout,1715.0,3.0,3,120.0
2133,Green Glen Layout,1623.29,2.0,3,105.0
2134,Green Glen Layout,1715.0,3.0,3,115.0
2135,Green Glen Layout,1715.0,3.0,3,105.0
2136,Green Glen Layout,1600.0,3.0,3,105.0
2137,Green Glen Layout,1717.0,3.0,3,125.0
2138,Green Glen Layout,1250.0,2.0,2,75.0
2139,Green Glen Layout,1715.0,3.0,3,112.0
2140,Gubbalala,1470.0,2.0,3,82.0
2141,Gubbalala,1745.0,3.0,3,104.0
2142,Gubbalala,1745.0,3.0,3,115.0
2143,Gubbalala,1745.0,3.0,3,110.0
2144,Gubbalala,1650.0,3.0,3,71.0
2145,Gubbalala,2570.0,4.0,5,141.0
2146,Gubbalala,1205.0,2.0,2,70.0
2147,Gubbalala,1435.0,2.0,3,80.0
2148,Gubbalala,1475.0,2.0,2,80.0
2150,Gubbalala,1100.0,2.0,2,49.5
2151,Gubbalala,1060.0,2.0,2,46.0
2152,Gubbalala,2000.0,3.0,3,125.0
2154,Gunjur,1140.0,2.0,2,43.0
2155,Gunjur,1356.0,2.0,3,66.0
2156,Gunjur,1600.0,3.0,3,75.0
2157,Gunjur,2000.0,3.0,4,95.0
2158,Gunjur,1140.0,2.0,2,49.11
2159,Gunjur,1195.0,2.0,2,44.0
2160,Gunjur,1190.0,2.0,2,40.0
2161,Gunjur,1457.0,2.0,2,60.0
2162,Gunjur,1080.0,2.0,2,41.0
2165,Gunjur,1175.0,2.0,2,43.48
2166,Gunjur,1362.0,3.0,3,62.63
2167,Gunjur,1071.0,2.0,2,51.0
2168,Gunjur,1063.0,2.0,2,40.0
2169,Gunjur,1235.0,2.0,2,52.76
2170,Gunjur,1362.0,3.0,3,62.63
2171,Gunjur,1362.0,3.0,3,62.63
2172,Gunjur,1588.0,2.0,3,90.0
2173,Gunjur,1235.0,2.0,2,44.5
2174,Gunjur,1457.0,2.0,2,60.0
2176,HSR Layout,1372.0,2.0,2,68.0
2178,HSR Layout,1475.0,3.0,3,75.0
2179,HSR Layout,1467.0,2.0,2,55.0
2180,HSR Layout,1140.0,2.0,2,46.0
2181,HSR Layout,1372.0,2.0,2,61.0
2182,HSR Layout,1750.0,3.0,3,95.0
2184,HSR Layout,1027.0,2.0,2,44.0
2185,HSR Layout,1650.0,3.0,3,110.0
2186,HSR Layout,1140.0,2.0,2,46.0
2187,HSR Layout,1372.0,2.0,2,61.0
2188,HSR Layout,1140.0,2.0,2,46.0
2189,HSR Layout,1185.0,2.0,2,60.0
2190,HSR Layout,1127.0,2.0,2,68.0
2191,HSR Layout,1600.0,2.0,3,115.0
2192,HSR Layout,1145.0,2.0,2,48.0
2193,HSR Layout,1009.0,2.0,2,56.0
2194,HSR Layout,1300.0,2.0,2,98.0
2196,HSR Layout,1140.0,2.0,2,46.0
2197,HSR Layout,1126.0,2.0,2,69.0
2199,HSR Layout,1140.0,2.0,2,46.0
2200,HSR Layout,1145.0,2.0,2,46.0
2201,HSR Layout,1142.0,2.0,2,65.0
2202,HSR Layout,1145.0,2.0,2,46.0
2203,HSR Layout,1844.0,3.0,3,95.0
2204,HSR Layout,1203.0,2.0,2,72.0
2205,HSR Layout,1140.0,2.0,2,46.0
2206,HSR Layout,4200.0,5.0,5,245.0
2207,HSR Layout,1140.0,2.0,2,46.0
2208,HSR Layout,1145.0,2.0,2,46.0
2209,HSR Layout,1009.0,2.0,2,56.0
2210,HSR Layout,1145.0,2.0,2,46.0
2211,HSR Layout,1100.0,2.0,2,44.0
2212,HSR Layout,1203.0,2.0,2,60.0
2213,HSR Layout,1120.0,2.0,2,70.0
2214,HSR Layout,1140.0,2.0,2,46.0
2215,HSR Layout,1289.0,2.0,2,70.0
2216,HSR Layout,1844.0,3.0,3,89.0
2217,HSR Layout,1203.0,2.0,2,60.0
2218,HSR Layout,1140.0,2.0,2,46.0
2219,Haralur Road,1240.0,2.0,2,70.0
2220,Haralur Road,1027.0,2.0,2,44.0
2223,Haralur Road,1194.0,2.0,2,47.0
2224,Haralur Road,1202.0,2.0,2,53.0
2225,Haralur Road,1056.0,2.0,2,61.0
2227,Haralur Road,1810.0,3.0,3,100.0
2228,Haralur Road,1194.0,2.0,2,46.0
2230,Haralur Road,1225.0,2.0,2,67.38
2231,Haralur Road,1243.0,2.0,2,46.0
2232,Haralur Road,1027.0,2.0,2,44.0
2233,Haralur Road,1920.0,3.0,3,115.0
2234,Haralur Road,1875.0,3.0,3,110.0
2235,Haralur Road,1194.0,2.0,2,47.0
2236,Haralur Road,1140.0,2.0,2,43.0
2237,Haralur Road,1027.0,2.0,2,44.0
2238,Haralur Road,1194.0,2.0,2,46.0
2239,Haralur Road,2017.0,3.0,3,125.0
2240,Haralur Road,1140.0,2.0,2,43.0
2241,Haralur Road,1875.0,3.0,3,110.0
2242,Haralur Road,1092.0,2.0,2,44.0
2243,Haralur Road,2475.0,4.0,3,130.0
2244,Haralur Road,1300.0,2.0,2,73.0
2245,Haralur Road,1194.0,2.0,2,47.0
2246,Haralur Road,1243.0,2.0,2,46.0
2247,Haralur Road,1850.0,3.0,3,110.0
2248,Haralur Road,1225.0,2.0,2,67.38
2249,Haralur Road,1243.0,2.0,2,46.0
2250,Haralur Road,3400.0,5.0,4,240.0
2251,Haralur Road,1464.0,2.0,2,56.0
2252,Haralur Road,1230.0,2.0,2,78.0
2253,Haralur Road,1000.0,2.0,2,44.0
2255,Haralur Road,1300.0,2.0,2,79.0
2256,Haralur Road,1444.0,2.0,3,80.0
2257,Haralur Road,1088.0,2.0,2,68.0
2258,Haralur Road,1027.0,2.0,2,44.0
2260,Haralur Road,1225.0,2.0,2,70.0
2262,Haralur Road,1194.0,2.0,2,46.0
2263,Haralur Road,1830.0,3.0,3,101.0
2264,Haralur Road,1810.0,3.0,3,126.0
2265,Haralur Road,1464.0,2.0,2,56.0
2266,Haralur Road,1520.0,2.0,3,96.0
2267,Haralur Road,1300.0,2.0,2,75.0
2268,Haralur Road,2017.0,2.0,3,125.0
2269,Haralur Road,1243.0,2.0,2,46.0
2270,Haralur Road,1027.0,2.0,2,44.0
2271,Haralur Road,2805.0,5.0,4,160.0
2272,Haralur Road,1243.0,2.0,2,46.0
2273,Haralur Road,1027.0,2.0,2,44.0
2274,Haralur Road,2017.0,3.0,3,105.0
2275,Haralur Road,1243.0,2.0,2,46.0
2276,Haralur Road,1243.0,2.0,2,46.0
2277,Haralur Road,1520.0,2.0,3,90.0
2278,Haralur Road,1300.0,2.0,2,60.0
2279,Haralur Road,1985.0,3.0,3,130.0
2280,Haralur Road,1255.0,2.0,3,90.0
2281,Haralur Road,1056.0,2.0,2,60.0
2282,Haralur Road,1140.0,2.0,2,42.0
2283,Haralur Road,1245.0,2.0,2,62.0
2284,Haralur Road,1140.0,2.0,2,58.0
2285,Haralur Road,1140.0,2.0,2,42.0
2286,Haralur Road,1027.0,2.0,2,43.0
2287,Haralur Road,1194.0,2.0,2,47.0
2288,Haralur Road,1194.0,2.0,2,47.0
2289,Haralur Road,1560.0,3.0,3,90.0
2290,Haralur Road,1520.0,2.0,3,85.0
2291,Haralur Road,1243.0,2.0,2,45.0
2292,Haralur Road,1027.0,2.0,2,44.0
2293,Haralur Road,1194.0,2.0,2,46.0
2294,Haralur Road,1650.0,3.0,3,100.0
2295,Haralur Road,1580.0,3.0,3,73.0
2296,Haralur Road,1243.0,2.0,2,46.0
2297,Haralur Road,1194.0,2.0,2,47.0
2299,Haralur Road,1520.0,2.0,3,96.0
2300,Haralur Road,1510.0,3.0,3,83.05
2301,Haralur Road,1056.0,2.0,2,65.0
2302,Haralur Road,1810.0,3.0,3,100.0
2303,Haralur Road,1243.0,2.0,2,46.0
2304,Haralur Road,575.0,1.0,1,38.0
2305,Haralur Road,1194.0,2.0,2,46.0
2306,Haralur Road,1243.0,2.0,2,46.0
2307,Haralur Road,1194.0,2.0,2,46.0
2308,Haralur Road,1140.0,2.0,2,43.0
2309,Haralur Road,1850.0,3.0,3,120.0
2310,Haralur Road,1194.0,2.0,2,47.0
2311,Haralur Road,1194.0,2.0,2,47.0
2313,Haralur Road,1243.0,2.0,2,46.0
2314,Haralur Road,1710.0,3.0,3,85.0
2315,Haralur Road,1730.0,3.0,3,95.0
2316,Haralur Road,1243.0,2.0,2,46.0
2317,Haralur Road,1243.0,2.0,2,46.0
2318,Haralur Road,1243.0,2.0,2,46.0
2319,Haralur Road,1817.0,3.0,3,110.0
2320,Haralur Road,1225.0,2.0,2,77.0
2321,Haralur Road,1285.0,2.0,2,78.0
2322,Haralur Road,1225.0,2.0,2,67.48
2323,Haralur Road,1225.0,2.0,2,69.84
2324,Haralur Road,1200.0,2.0,2,46.0
2325,Haralur Road,1315.0,2.0,2,85.0
2326,Haralur Road,1976.0,3.0,3,92.0
2327,Haralur Road,1300.0,2.0,2,75.0
2328,Haralur Road,1309.0,2.0,2,82.0
2329,Haralur Road,1027.0,1.0,2,44.0
2330,Haralur Road,1243.0,2.0,2,46.0
2331,Haralur Road,1243.0,2.0,2,46.0
2332,Haralur Road,1140.0,2.0,2,43.0
2333,Haralur Road,1300.0,2.0,2,75.0
2334,Haralur Road,1243.0,2.0,2,46.0
2335,Haralur Road,1890.0,3.0,3,84.0
2336,Haralur Road,1230.0,2.0,2,67.65
2337,Haralur Road,1194.0,2.0,2,46.0
2338,Haralur Road,1092.0,2.0,2,44.0
2340,Haralur Road,1255.0,3.0,3,90.0
2341,Haralur Road,1735.0,3.0,3,97.0
2342,Haralur Road,1810.0,3.0,3,97.83
2343,Haralur Road,1200.0,2.0,2,46.0
2344,Haralur Road,1243.0,2.0,2,46.0
2345,Haralur Road,1810.0,3.0,3,112.0
2346,Harlur,1508.0,2.0,2,77.0
2347,Harlur,1752.12,3.0,3,135.0
2350,Harlur,1709.0,3.0,3,150.0
2351,Harlur,1174.0,2.0,2,69.0
2352,Harlur,1033.0,2.0,2,49.0
2353,Harlur,1197.0,2.0,2,84.0
2354,Harlur,1757.0,3.0,3,132.0
2355,Harlur,1174.0,2.0,2,76.0
2356,Harlur,1754.0,3.0,3,125.0
2357,Harlur,1290.0,2.0,2,85.0
2358,Harlur,1752.12,3.0,3,116.0
2359,Harlur,1754.0,3.0,3,135.0
2360,Harlur,1754.0,3.0,3,124.0
2361,Harlur,1152.0,2.0,2,69.0
2362,Harlur,1290.0,2.0,2,87.0
2363,Harlur,1749.0,3.0,3,115.0
2364,Harlur,3385.0,4.0,4,260.0
2365,Harlur,2240.0,5.0,3,155.0
2366,Harlur,1758.0,3.0,3,133.0
2368,Harlur,1197.0,2.0,2,79.0
2369,Harlur,1174.0,2.0,2,78.0
2372,Harlur,1200.0,2.0,2,52.0
2373,Harlur,1197.0,2.0,2,79.0
2374,Harlur,1749.0,3.0,3,112.0
2375,Harlur,1174.0,2.0,2,75.0
2376,Harlur,1750.0,3.0,3,136.0
2377,Harlur,1620.0,3.0,3,110.0
2380,Harlur,1762.0,3.0,3,133.0
2381,Harlur,1756.0,3.0,3,131.0
2382,Harlur,1755.0,3.0,3,130.0
2383,Harlur,1864.0,3.0,3,140.0
2384,Harlur,1331.0,2.0,2,88.0
2385,Harlur,1752.12,3.0,3,133.0
2386,Harlur,1133.0,2.0,2,55.0
2387,Harlur,1756.0,3.0,3,128.0
2388,Harlur,1749.0,3.0,3,120.0
2389,Harlur,1197.0,2.0,2,82.0
2390,Harlur,1303.0,2.0,2,90.0
2391,Harlur,1754.0,3.0,3,132.0
2392,Harlur,1174.0,2.0,2,75.0
2393,Harlur,1756.0,3.0,3,134.0
2394,Harlur,1197.0,2.0,2,78.0
2395,Harlur,1290.0,2.0,2,89.9
2396,Harlur,1386.0,2.0,2,85.0
2397,Harlur,1174.0,2.0,2,74.0
2398,Harlur,1174.0,2.0,2,78.0
2400,Harlur,1755.0,3.0,3,115.0
2402,Harlur,2569.0,4.0,4,175.0
2404,Harlur,1197.0,2.0,2,77.0
2405,Harlur,1752.12,3.0,3,125.0
2406,Harlur,2569.0,5.0,4,180.0
2407,Harlur,1225.0,2.0,2,56.0
2408,Harlur,1197.0,2.0,2,76.0
2410,Harlur,1197.0,2.0,2,75.0
2411,Harlur,1755.0,3.0,3,117.0
2412,Harlur,1197.0,2.0,2,79.9
2413,Harlur,936.0,2.0,2,45.0
2414,Harlur,2990.0,4.0,4,225.0
